id;uuid;anwender;typ;status;art;belegart;kennzeichen;dale_nr_bank;wiedervorlage_datum;wiedervorlage_grund;darlehen;beschreibung;vorgaenger_darlehen;vorgaenger_betrag;betrag;vertragsdatum;festzinsdatum;berechnungsziel;auszahl_betrag;auszahl_datum;auszahl_flag;berechnung_start;ratenanzahl;endwert;laufzeit_monate;laufzeitende;disagio_ab;disagio_bis;disagio_fix;disagio_proz;agio_fix;agio_proz;zins_nominal;zins_betrag;zins_rhythmus;zins_ab;zins_kalender;tilg_proz;tilg_betrag;tilg_rhythmus;tilg_ab;zahlung_proz;zahlung_betrag;zahlung_rhythmus;zahlung_ab;zins_bereitsst_proz;zins_bereitsst_betrag;zins_bereitsst_rhythmus;zins_bereitsst_ab;zins_bereitsst_dat;zins_bereitsst_flag;gebuehr_fix_proz;gebuehr_fix_betrag;gebuehr_fix_rhythmus;gebuehr_ab;gebuehr_bis;gebuehr_bis_flag;owner;tstamp
43;4D8B5182-E29E-40E7-9C84-B2B1CF28E3DC;300     ;P;A;1;3;L;EBWO 8;31.07.18;NULL;L_0125_011_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;19.06.18;31.07.18;2;3000000;30.06.2018;0;01.07.2018;1;0;1;30.07.2018;NULL;NULL;0;0;0;0;-0,2;-6000;12;31.07.2018;1;100;3000000;12;31.07.2018;100;3000000;12;31.07.2018;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
44;556A2792-23CC-4AD4-88A2-DDB49B9290F4;300     ;P;A;1;3;L;EBWO 8;31.08.18;NULL;L_0125_012_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;17.07.18;31.08.18;2;3000000;31.07.2018;0;01.08.2018;1;0;1;30.08.2018;NULL;NULL;0;0;0;0;-0,2;-6000;12;31.08.2018;1;100;3000000;12;31.08.2018;100;3000000;12;31.08.2018;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
45;3B4ABA5C-FC7B-4043-8DD9-ED33495C813C;300     ;P;A;1;3;L;EBWO 8;30.09.18;NULL;L_0125_013_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;22.08.18;30.09.18;2;3000000;31.08.2018;0;01.09.2018;1;0;1;30.09.2018;NULL;NULL;0;0;0;0;-0,2;-6000;12;30.09.2018;1;100;3000000;12;30.09.2018;100;3000000;12;30.09.2018;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
46;4860AD96-0188-4437-B289-523FB91D4DAF;300     ;P;A;1;3;L;EBWO 8;31.10.18;NULL;L_0125_014_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;24.09.18;31.10.18;2;3000000;30.09.2018;0;01.10.2018;1;0;1;30.10.2018;NULL;NULL;0;0;0;0;-0,2;-6000;12;31.10.2018;1;100;3000000;12;31.10.2018;100;3000000;12;31.10.2018;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
47;D11C6155-A3DB-421E-8E6A-215230F8E2A4;300     ;P;A;1;3;L;EBWO 8;30.11.18;NULL;L_0125_015_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;17.10.18;30.11.18;2;3000000;31.10.2018;0;01.11.2018;1;0;1;30.11.2018;NULL;NULL;0;0;0;0;-0,2;-6000;12;30.11.2018;1;100;3000000;12;30.11.2018;100;3000000;12;30.11.2018;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
48;762D6164-6AB3-4664-8C90-0860F89D8EDB;300     ;P;A;1;3;L;EBWO 8;31.12.18;NULL;L_0125_016_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;16.11.18;31.12.18;2;3000000;30.11.2018;0;01.12.2018;1;0;1;30.12.2018;NULL;NULL;0;0;0;0;-0,2;-6000;12;31.12.2018;1;100;3000000;12;31.12.2018;100;3000000;12;31.12.2018;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
49;692CFEFB-7F92-4143-915C-B22D1AFCCF00;300     ;P;A;1;3;L;EBWO 8;02.01.19;NULL;L_0125_017_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;02.01.19;02.01.19;3;3000000;01.01.2019;0;01.01.2019;1;0;1;30.01.2019;NULL;NULL;0;0;0;0;-0,2;-6000;12;31.01.2019;1;100;3000000;12;31.01.2019;100;3000000;12;31.01.2019;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
50;D979A71F-E135-4582-8ABA-3F5C90B39C31;300     ;P;A;1;3;L;EBWO 8;28.02.19;NULL;L_0125_018_EBWO 8;L_0125_EBWO 8;NULL;NULL;3000000;21.01.19;28.02.19;2;3000000;31.01.2019;0;01.02.2019;1;0;1;28.02.2019;NULL;NULL;0;0;0;0;-0,2;-6000;12;28.02.2019;1;100;3000000;12;28.02.2019;100;3000000;12;28.02.2019;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
51;C241B494-9B4E-42FE-9010-403765A857FC;300     ;P;A;1;3;L;EBWO 7;23.05.19;NULL;L_0124_022_EBWO 7;L_0124_EBWO 7;L_0124_021_EBWO 7;7000000;7000000;23.04.19;31.05.19;2;7000000;30.04.2019;0;01.05.2019;1;0;1;30.05.2019;NULL;NULL;0;0;0;0;-0,2;-14000;12;31.05.2019;1;100;7000000;12;31.05.2019;100;7000000;12;31.05.2019;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
52;C0251D20-7E36-41EE-806C-1962FAE7C8BE;300     ;P;A;1;3;L;EBWO 8;23.05.19;NULL;L_0125_021_EBWO 8;L_0125_EBWO 8;L_0125_020_EBWO 8;3000000;3000000;23.04.19;31.05.19;2;3000000;30.04.2019;0;01.05.2019;1;0;1;30.05.2019;NULL;NULL;0;0;0;0;-0,2;-6000;12;31.05.2019;1;100;3000000;12;31.05.2019;100;3000000;12;31.05.2019;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
53;7391079C-8CBE-4047-A077-ABB97C89C65E;300     ;P;A;1;3;L;EBWO 12;23.05.19;NULL;L_0143_012_EBWO 12;L_0143_EBWO 12;L_0143_011_EBWO 12;1000000;1000000;23.04.19;31.05.19;2;1000000;30.04.2019;1;01.05.2019;1;0;1;30.05.2019;NULL;NULL;0;0;0;0;-0,2;-2000;12;31.05.2019;1;100;1000000;12;31.05.2019;100;1000000;12;31.05.2019;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
55;CAEBE0BD-C7DC-467B-BAE2-BA906B36A48B;300     ;P;A;1;3;L;1871044M-2281636;07.11.18;NULL;L_0102_008_Bayern LB;L_0102_Bayern LB;NULL;NULL;35000000;07.08.18;07.11.18;2;35000000;09.08.2018;0;10.08.2018;1;0;3;07.11.2018;NULL;NULL;0;0;0;0;-0,22;-77000;12;07.11.2018;3;100;35000000;12;07.11.2018;100;35000000;12;07.11.2018;0;0;12;31.12.2018;NULL;0;0;0;12;31.12.2018;NULL;0;MIGRAT;31.08.20
56;EA7F06C0-B80C-4DB7-8091-4385FF819DA3;300     ;P;A;1;3;L;EBWO 7;28.08.17;NULL;L_0124_001_EBWO 7;L_0124_EBWO 7;NULL;NULL;7000000;24.07.17;28.08.17;2;7000000;28.07.2017;0;28.07.2017;1;0;1;28.08.2017;NULL;NULL;0;0;0;0;-0,2;-14000;12;28.08.2017;1;100;7000000;12;28.08.2017;100;7000000;12;28.08.2017;0;0;1;NULL;NULL;0;0;0;1;NULL;NULL;0;MIGRAT;31.08.20
